time,open,high,low,close,volume
2023-02-03 04:15:00,102.73,102.73,102.53,102.61,13874
2023-02-03 04:10:00,101.9,102.15,101.87,102.15,8744
2023-02-03 04:05:00,102.49,102.68,101.87,101.95,16318
2023-02-02 20:00:00,102.92,102.92,102.75,102.78,13445
2023-02-02 19:55:00,102.88,102.99,102.77,102.89,14948
2023-02-02 19:50:00,102.93,103.06,102.88,102.89,17346
2023-02-02 19:45:00,103.28,103.31,102.9,103.01,10536
2023-02-02 19:40:00,103.24,103.4,103.11,103.35,9434
2023-02-02 19:35:00,103.33,103.34,103.11,103.15,9238
2023-02-02 19:30:00,103.7,103.7,103.34,103.34,6944
2023-02-02 19:25:00,103.8,103.8,103.7,103.7,16889
2023-02-02 19:20:00,103.84,103.9,103.7,103.7999,5290
2023-02-02 19:15:00,103.86,103.95,103.7,103.9,7394
2023-02-02 19:10:00,103.84,103.95,103.7,103.86,9188
2023-02-02 19:05:00,103.76,103.84,103.64,103.84,15326
2023-02-02 19:00:00,103.95,103.99,103.85,103.99,3391
2023-02-02 18:55:00,103.7,103.99,103.7,103.99,9988
2023-02-02 18:50:00,103.94,104.04,103.7,103.7,13228
2023-02-02 18:45:00,104.0,104.09,103.7,103.7,10502
2023-02-02 18:40:00,103.66,104.26,103.66,103.9,36814
2023-02-02 18:35:00,103.4,103.66,103.4,103.56,9618
2023-02-02 18:30:00,103.3,103.5,102.88,103.39,60735
2023-02-02 18:25:00,103.3,103.4,103.11,103.35,21207
2023-02-02 18:20:00,103.55,103.55,103.25,103.3,14655
2023-02-02 18:15:00,103.83,103.95,103.4,103.5,16152
2023-02-02 18:10:00,104.39,104.4,103.82,103.82,54328
2023-02-02 18:05:00,104.5,104.8,104.35,104.39,41594
2023-02-02 18:00:00,104.41,105.0,104.4,104.5,51797
2023-02-02 17:55:00,104.61,105.05,104.2,104.41,123998
2023-02-02 17:50:00,103.4,104.6,103.35,104.6,129848
2023-02-02 17:45:00,103.5,103.8,103.3,103.44,78992
2023-02-02 17:40:00,102.7,103.7,102.65,103.5,125928
2023-02-02 17:35:00,101.85,102.96,101.85,102.65,124719
2023-02-02 17:30:00,102.0,102.1,101.73,101.78,68354
2023-02-02 17:25:00,102.28,102.29,101.94,102.09,116042
2023-02-02 17:20:00,102.69,102.79,102.21,102.28,113371
2023-02-02 17:15:00,103.51,103.51,102.64,102.7,193582
2023-02-02 17:10:00,103.53,104.05,103.5,103.52,188107
2023-02-02 17:05:00,103.7,104.1,103.5,103.69,87360
2023-02-02 17:00:00,104.0,104.01,103.7,103.7,82733
2023-02-02 16:55:00,103.56,104.19,103.45,104.01,139999
2023-02-02 16:50:00,103.03,103.89,103.0,103.7,117294
2023-02-02 16:45:00,103.5,107.74,103.0,103.03,176191
2023-02-02 16:40:00,104.06,107.74,103.44,103.51,507719
2023-02-02 16:35:00,104.04,105.2,103.7,104.02,333859
2023-02-02 16:30:00,102.54,107.74,102.44,104.04,321265
2023-02-02 16:25:00,102.24,102.4,100.87,102.4,516139
2023-02-02 16:20:00,102.75,103.66,102.13,102.22,793813
2023-02-02 16:15:00,102.8,107.74,102.65,102.75,673385
2023-02-02 16:10:00,109.41,109.41,102.65,102.65,865374
2023-02-02 16:05:00,107.82,112.17,105.6,109.4643,1552521
2023-02-02 16:00:00,107.36,107.84,107.35,107.81,2491926
2023-02-02 15:55:00,107.185,107.4,106.99,107.3525,1712128
2023-02-02 15:50:00,107.275,107.34,107.11,107.185,930747
2023-02-02 15:45:00,107.44,107.495,107.11,107.28,925422
2023-02-02 15:40:00,107.66,107.73,107.375,107.425,809118
2023-02-02 15:35:00,107.435,107.66,107.395,107.65,779691
2023-02-02 15:30:00,107.33,107.57,107.23,107.435,857289
2023-02-02 15:25:00,107.28,107.515,107.215,107.335,851272
2023-02-02 15:20:00,106.98,107.29,106.7,107.27,944793
2023-02-02 15:15:00,106.225,106.98,106.22,106.98,580056
2023-02-02 15:10:00,106.19,106.495,106.03,106.22,671653
2023-02-02 15:05:00,106.14,106.25,105.93,106.18,528328
2023-02-02 15:00:00,106.3,106.31,106.06,106.14,575453
2023-02-02 14:55:00,106.15,106.42,106.035,106.295,607868
2023-02-02 14:50:00,106.3018,106.31,105.95,106.14,620021
2023-02-02 14:45:00,106.525,106.61,106.22,106.3,493233
2023-02-02 14:40:00,106.375,106.685,106.3,106.52,539694
2023-02-02 14:35:00,106.81,106.9,106.32,106.3701,609487
2023-02-02 14:30:00,106.73,106.895,106.73,106.81,406238
2023-02-02 14:25:00,106.89,106.92,106.7115,106.735,385145
2023-02-02 14:20:00,106.905,106.98,106.76,106.885,360879
2023-02-02 14:15:00,107.35,107.41,106.86,106.9045,584543
2023-02-02 14:10:00,107.405,107.46,107.3302,107.35,705804
2023-02-02 14:05:00,107.715,107.818,107.39,107.405,570489
2023-02-02 14:00:00,107.4999,107.73,107.445,107.72,401490
2023-02-02 13:55:00,107.375,107.54,107.375,107.5,491732
2023-02-02 13:50:00,107.165,107.385,107.11,107.38,374208
2023-02-02 13:45:00,107.095,107.23,107.09,107.165,443874
2023-02-02 13:40:00,107.09,107.2,107.03,107.1,316999
2023-02-02 13:35:00,106.935,107.11,106.87,107.085,391829
2023-02-02 13:30:00,106.875,106.945,106.7223,106.93,348243
2023-02-02 13:25:00,106.78,106.9,106.68,106.88,902418
2023-02-02 13:20:00,106.465,106.79,106.445,106.78,412718
2023-02-02 13:15:00,106.525,106.59,106.42,106.465,390553
